userId,date,online_time,join_us,react_post,comment_post,post_emotion,mood_A,mood_B,mood_C
testUser001,2025-07-17,0h 20m,4,4,5,8,4,2,2
testUser001,2025-07-18,0h 30m,5,8,11,8,4,3,1
testUser001,2025-07-19,0h 37m,7,9,8,11,3,7,1
testUser001,2025-07-20,0h 46m,10,11,9,10,3,6,1
testUser001,2025-07-21,1h 02m,8,11,16,9,3,6,0
testUser001,2025-07-22,1h 24m,12,14,13,11,5,5,1
testUser001,2025-07-23,1h 42m,13,12,14,12,1,10,1
testUser002,2025-07-17,0h 31m,6,4,8,5,3,1,1
testUser002,2025-07-18,0h 39m,9,10,10,7,4,0,3
testUser002,2025-07-19,0h 47m,10,8,8,7,2,3,2
testUser002,2025-07-20,0h 49m,9,12,15,8,2,4,2
testUser002,2025-07-21,1h 01m,13,12,13,13,4,7,2
testUser002,2025-07-22,1h 22m,10,14,16,13,6,6,1
testUser002,2025-07-23,1h 40m,11,15,21,13,5,8,0
testUser003,2025-07-17,0h 23m,7,7,9,7,3,1,3
testUser003,2025-07-18,0h 36m,7,5,7,5,1,0,4
testUser003,2025-07-19,0h 49m,9,12,10,7,3,2,2
testUser003,2025-07-20,0h 52m,9,10,10,8,3,4,1
testUser003,2025-07-21,1h 08m,13,12,14,10,4,5,1
testUser003,2025-07-22,1h 24m,12,13,12,15,2,12,1
testUser003,2025-07-23,1h 43m,11,15,15,14,2,12,0
