userId,date,online_time,join_us,react_post,comment_post,post_emotion,mood_A,mood_B,mood_C
testUser001,2025-06-20,0h 00m,3,6,0,0,0,0,0
testUser001,2025-06-21,0h 32m,4,7,1,2,1,1,0
testUser001,2025-06-23,0h 46m,3,2,0,1,0,1,0
testUser001,2025-06-24,4h 21m,5,2,1,2,1,1,0
testUser001,2025-06-30,0h 00m,1,0,0,1,1,0,0
testUser001,2025-07-01,3h 17m,66,95,4,67,26,11,30
testUser001,2025-07-02,6h 11m,10,9,0,10,4,3,3
testUser001,2025-07-03,9h 27m,4,9,0,4,1,0,3
testUser001,2025-07-04,0h 00m,0,8,0,4,1,0,3
testUser001,2025-07-23,0h 00m,1,1,0,0,0,0,0
